序号,区划层级,省份区划编码,地市区划编码,地市区划名称,区县区划编码,区县区划名称,机构层级,省份机构名称,地市机构编码,地市机构名称,区县机构编码,区县机构名称,网点机构编码,网点机构名称,主码,法定客户名称,子码,协议客户名称,业务关系码,业务关系名称,行业一级,行业二级,行业三级,客户等级,注册日期,客户经理编码,客户经理名称,首席客户经理编码,首席客户经理名称,团队编码,团队名称,统计期业务量_万件,统计期收入_万元,统计期重量_kg,对比期业务量_万件,对比期收入_万元,对比期重量_kg,col_38,col_39
20,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43000437,武汉市江岸金银潭揽投部,43000437,武汉市江岸金银潭揽投部,C1101827339421,柯维法律咨询（武汉）有限公司,91101075771741,柯维法律咨询（武汉）有限公司,1100207957675,柯维法律咨询（武汉）有限公司(寄递),商企类,商业服务类,专业服务、咨询（财会、法律、人力资源等）,普通,2024-12-16,04274759,荆梦,,,04274759,荆梦,0.0001,0.0009433962,0.1,0,0,0
21,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43000437,武汉市江岸金银潭揽投部,43000437,武汉市江岸金银潭揽投部,C1102844086532,武汉市雀娱网络科技有限公司,91101131004350,武汉市雀娱网络科技有限公司,1100229728338,武汉市雀娱网络科技有限公司(寄递),商企类,IT通讯类,IT服务类,,2025-09-10,01605034,陈宏,,,01605034,陈宏,0.0008,0.0038490564,13.439,0,0,0
22,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43000437,武汉市江岸金银潭揽投部,43000437,武汉市江岸金银潭揽投部,C1103738916885,武汉佰乐通信有限公司,91101093477586,武汉佰乐通信有限公司,1100214639726,武汉佰乐通信有限公司(寄递),商企类,IT通讯类,行政寄递,普通,2025-03-13,01605034,陈宏,,,,,0,0,0,0.0018,0.0236189285,17.1
23,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C0000000516192,中国长江三峡集团有限公司,91100992872380,中国长江三峡集团有限公司-江岸2,1100183487452,中国长江三峡集团有限公司(生态工程中心),商企类,能源、矿产、环保,电气、电力、煤气、水利,普通,2024-01-15,01612011,乐云,,,,,0,0,0,0.0009,0.016171499,6.42
24,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C0000000531065,中国建设银行股份有限公司武汉江岸支行,91100997853676,中国建设银行股份有限公司武汉江岸支行-中国建设银行股份有限公司武汉江岸支行（法务部）,1100185125307,中国建设银行股份有限公司武汉江岸支行(（法务部）),商企类,金融类,行政办公,白银,2024-02-06,01613145,陈英,,,,,0,0,0,0.0062,0.063344814,6.2
25,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C0000002439581,百特（中国）投资有限公司,91100003768051,百特（中国）投资有限公司-X-中信泰富大厦-百特（中国）投资有限公司武汉分公司,1030002060181,百特（中国）投资有限公司(X-中信泰富大厦-百特（中国）投资有限公司武汉分公司),商企类,商业服务类,专业服务、咨询（财会、法律、人力资源等）,普通,2018-08-09,01612164,朱立军,,,,,0,0,0,0.0083,0.13066356,94.39
26,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C0000004535557,武汉三源特种建材有限责任公司,90000005787771,武汉三源特种建材有限责任公司,1100057474425,武汉三源特种建材有限责任公司(特快),商企类,能源、矿产、环保,能源、矿产、采掘、冶炼,白银,2020-07-07,01612726,叶青,,,,,0,0,0,0.0012,0.0148879351,1.2
27,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C0000005071081,中石化长江燃料有限公司,90000006620914,中石化长江燃料有限公司,1030002027274,中石化长江燃料有限公司(特快),商企类,能源、矿产、环保,能源、矿产、采掘、冶炼,白银,2016-03-09,03524361,孟秋,,,,,0,0,0,0.0045,0.0591102899,5.1
28,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C0000005994085,渣打银行（中国）有限公司武汉分行,90000007680854,渣打银行（中国）有限公司武汉分行-J渣打银行武汉分行,1030001737765,渣打银行（中国）有限公司武汉分行(特快),商企类,金融类,对账单寄递,白银,2016-08-10,01612164,朱立军,,,,,0,0,0,0.0028,0.0513214464,46.548
29,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C0000007235883,中国长江电力股份有限公司,90000009063851,中国长江电力股份有限公司,1100127587091,长江电力股份有限公司(特快),商企类,能源、矿产、环保,电气、电力、煤气、水利,白银,2022-09-13,01612726,叶青,,,,,0,0,0,0.0084,0.1318354231,16.1
30,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C0000007690721,上海罗氏制药有限公司,80000002289988,上海罗氏制药有限公司,1030000826875,上海罗氏制药有限公司(X新世界-Y上海罗氏制药有限公司新世界中心店),商企类,医药类,药品生产、医疗器械,普通,2015-11-23,03949503,王曦,,,,,0,0,0,0.0014,0.0176814176,3
31,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C0000007895010,国华人寿保险股份有限公司湖北分公司,90000009820975,国华人寿保险股份有限公司湖北分公司,1100031623973,国华人寿保险股份有限公司湖北分公司(特快),商企类,保险类,行政寄递,白银,2019-08-01,01610903,任珊,,,,,0,0,0,0.0085,0.1461470028,290.3
32,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C0000009418338,湖北商贸物流集团有限公司,91100835624819,湖北商贸物流集团有限公司,1100125696528,湖北商贸物流集团有限公司(特快),商企类,生鲜特产,特产类,黄金,2022-08-26,01612163,魏罡,,,,,0,0,0,0.0049,0.0592695005,4.9
33,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C1100099476625,中信银行股份有限公司武汉分行,91101068738555,中信银行股份有限公司武汉分行-江汉2,1100207412198,中信银行股份有限公司武汉分行(美签3),商企类,金融类,其他,黄金,2024-12-06,03736715,陈磊,,,,,0,0,0,0.0001,0.000754717,0.1
34,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C1100399024458,武汉天象置业有限公司,91100355405082,武汉天象置业有限公司,1100052609846,武汉天象置业有限公司(特快),商企类,房产建筑,房地产、建筑建材、工程,普通,2020-05-29,03988531,丁勇,,,03988531,丁勇,0.0014,0.0185849056,3.14,0,0,0
35,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C1100485099467,三峡高科信息技术有限责任公司,91100445416297,三峡高科信息技术有限责任公司,1100175068458,三峡高科信息技术有限责任公司,商企类,IT通讯类,IT服务类,普通,2023-10-24,01613145,陈英,,,,,0,0,0,0.0003,0.0033822051,0.3
36,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C1100492779101,捷银国际旅行社（上海）有限公司,91100589522272,捷银国际-武汉寄递,1100099615743,捷银国际旅行社（上海）有限公司(捷银项目-武汉),商企类,贸易、消费品、调换货,其他,普通,2021-10-29,01617306,刘婷婷,,,,,0,0,0,0.0001,0.0009433962,0.1
37,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C1100569123301,武汉小竹物业管理有限公司,80000002307024,武汉小竹物业管理有限公司,1030002294584,武汉小竹物业管理有限公司(江岸寄递),商企类,房产建筑,物业管理、商业中心,普通,2015-11-23,04033740,张成,,,,,0,0,0,0.0005,0.0055551324,1.5
38,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C1100579009237,湖北南德经济发展集团有限公司,91100536819138,湖北南德经济发展集团有限公司,1100089607002,湖北南德经济发展集团有限公司(特快),商企类,房产建筑,房地产、建筑建材、工程,普通,2021-06-01,04101601,张天,,,,,0,0,0,0,-0.0009433962,0
39,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C1100620700232,武汉润雪房地产开发有限公司,91101078608192,润雪-寄递,1100209733916,润雪(寄递),商企类,房产建筑,物业管理、商业中心,白银,2024-12-31,04108668,许颖,,,,,0,0,0,0.0002,0.0009433962,0.2
40,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C1100660409041,长江三峡实业有限公司武汉分公司,91100614805578,长江三峡实业有限公司武汉分公司,1100103944092,长江三峡实业有限公司武汉分公司(特快),商企类,能源、矿产、环保,电气、电力、煤气、水利,白银,2022-01-05,01612011,乐云,,,,,0,0,0,0.0054,0.0987765813,36.7
41,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C1100707006811,武汉叶开泰药业连锁有限公司,91101113318561,武汉叶开泰药业-寄递,1100221368510,武汉叶开泰药业(寄递),商企类,医药类,药品销售,普通,2025-06-30,03110325,张喆,,,,,0,0,0,0.0001,0.0009433962,0.1
42,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C1100880237347,武汉岱家山瞪羚企业加速器有限公司,91100835602589,武汉岱家山瞪羚企业加速器有限公司,1100125523718,武汉岱家山科技企业加速器有限公司,商企类,生产加工制造业,印刷、包装、造纸、办公设备、轻工业,普通,2022-08-25,03949503,王曦,,,,,0,0,0,0.0001,0.0004716981,0.1
43,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C1100902304639,上海灰熵企业管理服务有限公司,91100854682049,上海灰熵企业管理服务有限公司,1100131795299,上海灰熵企业管理服务有限公司,商企类,商业服务类,其他,普通,2022-10-18,03883930,宋紫昱,,,,,0,0,0,0,-0.0009433962,0
45,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C1101316087749,武汉华力商业管理有限公司,91101067970822,武汉华力商业管理有限公司,1100207131028,武汉华力商业管理有限公司(寄递),商企类,商业服务类,广告、会展、公关、中介,普通,2024-12-03,01612099,高智,,,,,0,0,0,0.0001,0.000754717,0.1
46,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C1101378939585,武汉国荣置业有限公司,91101053701380,武汉国荣置业有限公司-寄递,1100200831815,武汉国荣置业有限公司(寄递),商企类,房产建筑,房地产、建筑建材、工程,普通,2024-09-14,03811836,吴尚高,,,,,0,0,0,0.0004,0.0058326986,0.4
47,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001007,武汉市江岸长春街揽投部,43001007,武汉市江岸长春街揽投部,C1101514904297,湖北华阳建设有限公司,91101199354172,湖北华阳建设有限公司,1100245696307,湖北华阳建设有限公司(寄递),商企类,房产建筑,房地产、建筑建材、工程,,2026-05-13,01612066,殷花,,,01612066,殷花,0.0001,0.0009433962,0.05,0,0,0
49,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001102,武汉市江岸堤角揽投部,43001102,武汉市江岸堤角揽投部,C1101151589822,快宝(上海)网络技术有限公司,91101016932925,快宝(上海)网络技术有限公司-快宝上门取件武汉市,1100189814441,快宝(上海)网络技术有限公司(上海)网络技术有限公司(快宝上门取件武汉市),商企类,退换货（商企）,快宝退换货（商企）,普通,2024-04-10,"03916800,03881828","徐玉婷,申莉莉",,,03916800,徐玉婷,0.0001,0.0011320755,0.1,0,0,0
50,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001102,武汉市江岸堤角揽投部,43001102,武汉市江岸堤角揽投部,C1103738916908,武汉鑫欣聚建筑工程有限公司,91101093477621,武汉鑫欣聚建筑工程有限公司,1100214639760,武汉鑫欣聚建筑工程有限公司(寄递),商企类,房产建筑,房地产、建筑建材、工程,普通,2025-03-13,04271831,孙博文,,,,,0,0,0,0.0001,0.0009433962,0.6
51,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001206,武汉市江岸二七揽投部,43001206,武汉市江岸二七揽投部,C0000005256648,新八建设集团有限公司,90000006848747,新八建设集团有限公司,1100101613396,新八建设集团有限公司(寄递),商企类,房产建筑,房地产、建筑建材、工程,普通,2021-12-02,01613191,彭唯物,,,,,0,0,0,0.0001,0.0009433962,0.1
52,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001206,武汉市江岸二七揽投部,43001206,武汉市江岸二七揽投部,C1100206481586,武汉泰富二零四九滨江房地产开发有限公司,91100206501220,武汉泰富二零四九滨江房地产开发有限公司,1100109821744,武汉泰富二零四九滨江房地产开发有限公司(特快),商企类,房产建筑,房地产、建筑建材、工程,普通,2022-03-16,01613191,彭唯物,,,,,0,0,0,0.0001,0.0009433962,0.1
53,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001206,武汉市江岸二七揽投部,43001206,武汉市江岸二七揽投部,C1100353963236,内蒙古伊利实业集团股份有限公司,91101199747875,内蒙古伊利实业集团股份有限公司-武汉分公司,1100245754290,内蒙古伊利实业集团股份有限公司(特快),商企类,贸易、消费品、调换货,快速消费品（食品、饮料、烟酒、日化）,,2026-05-15,01612099,高智,4003356186,马丽,04108662,罗婧,0.0003,0.0023396226,0.16,0,0,0
54,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001206,武汉市江岸二七揽投部,43001206,武汉市江岸二七揽投部,C1100393509584,武汉鼎天伟业商贸有限公司,91101131004215,武汉鼎天伟业商贸有限公司,1100229728035,武汉鼎天伟业商贸有限公司(寄递),商企类,商业服务类,其他,,2025-09-10,01612099,高智,,,01612099,高智,0.0003,0.0040188679,27.92,0,0,0
55,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43001206,武汉市江岸二七揽投部,43001206,武汉市江岸二七揽投部,C1100450329959,武汉武商超市管理有限公司,91100409319941,武汉武商超市管理有限公司,1100151447767,武商超市(武汉武商超市管理有限公司),商企类,贸易、消费品、调换货,零售、批发,普通,2023-04-18,03832658,彭峰,,,,,0,0,0,0.0001,0.0009433962,0.1
